filename, language, JSON, Ignore, Properties, Markdown, YAML, JavaScript, HTML, Vue, CSS, comment, blank, total
domClient\.electron-vue\build.js, JavaScript, 0, 0, 0, 0, 0, 20, 0, 0, 0, 105, 7, 132
domClient\.electron-vue\dev-client.js, JavaScript, 0, 0, 0, 0, 0, 24, 0, 0, 0, 14, 3, 41
domClient\.electron-vue\dev-runner.js, JavaScript, 0, 0, 0, 0, 0, 157, 0, 0, 0, 1, 33, 191
domClient\.electron-vue\webpack.main.config.js, JavaScript, 0, 0, 0, 0, 0, 59, 0, 0, 0, 6, 8, 73
domClient\.electron-vue\webpack.renderer.config.js, JavaScript, 0, 0, 0, 0, 0, 149, 0, 0, 0, 13, 10, 172
domClient\.electron-vue\webpack.web.config.js, JavaScript, 0, 0, 0, 0, 0, 122, 0, 0, 0, 3, 8, 133
domClient\.gitignore, Ignore, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
domClient\.travis.yml, YAML, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
domClient\README.md, Markdown, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 10, 23
domClient\appveyor.yml, YAML, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 30
domClient\package.json, JSON, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
domClient\src\index.ejs, HTML, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 2, 29
domClient\src\main\index.dev.js, JavaScript, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10, 4, 24
domClient\src\main\index.js, JavaScript, 0, 0, 0, 0, 0, 34, 0, 0, 0, 25, 11, 70
domClient\src\renderer\App.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
domClient\src\renderer\assets\main.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 14, 69
domClient\src\renderer\components\AlarmAlert.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 6, 49
domClient\src\renderer\components\AlarmBlock.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 7, 52
domClient\src\renderer\components\ErrorDialog.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
domClient\src\renderer\components\HumBlock.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 7, 53
domClient\src\renderer\components\LightBlock.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 16, 126
domClient\src\renderer\components\LumBlock.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 8, 54
domClient\src\renderer\components\Snackbar.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
domClient\src\renderer\components\SystemBar.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 12, 90
domClient\src\renderer\components\TempBlock.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 9, 76
domClient\src\renderer\main.js, JavaScript, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 11, 41
domClient\src\renderer\pages\alarm.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 19, 106
domClient\src\renderer\pages\heater.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 21, 115
domClient\src\renderer\pages\index.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
domClient\src\renderer\pages\light.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 29, 163
domClient\src\renderer\pages\scenario.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 218, 0, 1, 25, 244
domClient\src\renderer\pages\video.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 9, 74
domClient\src\renderer\router\index.js, JavaScript, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
domClient\src\renderer\store\index.js, JavaScript, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 5, 18
domClient\src\renderer\store\modules\Counter.js, JavaScript, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 4, 26
domClient\src\renderer\store\modules\Snackbar.js, JavaScript, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
domClient\src\renderer\store\modules\index.js, JavaScript, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 4, 15
domServer\.editorconfig, Properties, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
domServer\.gitignore, Ignore, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 4, 12
domServer\README.md, Markdown, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 11, 29
domServer\app\Controllers\Http\AlarmController.js, JavaScript, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 9, 36
domServer\app\Controllers\Http\HumController.js, JavaScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
domServer\app\Controllers\Http\LightController.js, JavaScript, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 9, 44
domServer\app\Controllers\Http\LumController.js, JavaScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
domServer\app\Controllers\Http\ScenarioController.js, JavaScript, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 14, 56
domServer\app\Controllers\Http\SettingController.js, JavaScript, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 10, 56
domServer\app\Controllers\Http\TempController.js, JavaScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
domServer\app\Exceptions\SerialUnreachableException.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
domServer\app\Exceptions\TcpUnknownClientException.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 10
domServer\app\Middleware\ConvertEmptyStringsToNull.js, JavaScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
domServer\app\Models\Alarm.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Humidity.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Light.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Luminosity.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Scenario.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Setting.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Temperature.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Token.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Traits\NoTimestamp.js, JavaScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
domServer\app\Models\User.js, JavaScript, 0, 0, 0, 0, 0, 17, 0, 0, 0, 16, 7, 40
domServer\app\Services\AlarmService.js, JavaScript, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
domServer\app\Services\HeaterService.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 10, 27
domServer\app\Services\LightService.js, JavaScript, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 13, 47
domServer\app\Services\SerialService.js, JavaScript, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 11, 62
domServer\app\Services\TcpServer.js, JavaScript, 0, 0, 0, 0, 0, 106, 0, 0, 0, 3, 24, 133
domServer\app\Tasks\Scenario.js, JavaScript, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
domServer\config\app.js, JavaScript, 0, 0, 0, 0, 0, 45, 0, 0, 0, 177, 22, 244
domServer\config\auth.js, JavaScript, 0, 0, 0, 0, 0, 36, 0, 0, 0, 52, 7, 95
domServer\config\bodyParser.js, JavaScript, 0, 0, 0, 0, 0, 29, 0, 0, 0, 119, 10, 158
domServer\config\cors.js, JavaScript, 0, 0, 0, 0, 0, 9, 0, 0, 0, 72, 7, 88
domServer\config\database.js, JavaScript, 0, 0, 0, 0, 0, 36, 0, 0, 0, 42, 7, 85
domServer\config\hash.js, JavaScript, 0, 0, 0, 0, 0, 11, 0, 0, 0, 34, 5, 50
domServer\config\tcpServer.js, JavaScript, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
domServer\database\factory.js, JavaScript, 0, 0, 0, 0, 0, 1, 0, 0, 0, 17, 4, 22
domServer\database\migrations\1503250034279_user.js, JavaScript, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 5, 23
domServer\database\migrations\1503250034280_token.js, JavaScript, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
domServer\database\migrations\1548422706175_temperature_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1552635275184_humidity_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1552636375177_luminosity_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1552979825299_light_schema.js, JavaScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
domServer\database\migrations\1554465365668_setting_schema.js, JavaScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 5, 25
domServer\database\migrations\1555420078437_alarm_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1555490483788_scenario_schema.js, JavaScript, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 5, 26
domServer\package-lock.json, JSON, 3973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3974
domServer\package.json, JSON, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
domServer\server.js, JavaScript, 0, 0, 0, 0, 0, 6, 0, 0, 0, 16, 4, 26
domServer\start\app.js, JavaScript, 0, 0, 0, 0, 0, 18, 0, 0, 0, 39, 6, 63
domServer\start\hooks.js, JavaScript, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
domServer\start\kernel.js, JavaScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 46, 7, 72
domServer\start\routes.js, JavaScript, 0, 0, 0, 0, 0, 59, 0, 0, 0, 12, 16, 87
Total, -, 4109, 14, 10, 31, 58, 1686, 23, 1153, 55, 861, 700, 8700